level_0,database,station,date,depth,lat,lon,ntr0,temp,sal,p,SA,CT,sigth,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,TIME,latitude,longitude,CTDPRS,CTDPRS_FLAG_W,BTLDPTH,BTLDPTH_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLORA_STDEV,CHLORA_STDEV_FLAG_W,PPHYTIN,PPHYTIN_FLAG_W,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NH4,NH4_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,FLUOR,FLUOR_FLAG_W,XMISS,XMISS_FLAG_W,SALT,SALT_FLAG_W,mld,nc0,nc,delta_sigth,N2_30_100,doy,month,deltanc,deltanc0,year,season,reg_name,reg_idx
7097,codispoti,     316N151_2+71048,1997-06-17,0.0,63.9613,-36.2275,9.45,7.2,35.04,3.029491026235321,35.20702443424431,7.191005473126057,27.42467154472547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,0.0,30.0,0.06858154711651565,7.859013051128424e-06,168,6,-54.0,-84.0,1997,,,
7248,codispoti,     316N151_2+71049,1997-06-17,0.0,63.9762,-36.2968,9.42,7.21,35.04,3.0294943156895644,35.20702601435509,7.200996585925717,27.423257908820915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0.0,42.0,0.10508247993381659,8.05476022302675e-06,168,6,-30.0,-72.0,1997,,,
7399,codispoti,     316N151_2+71050,1997-06-17,0.0,64.0837,-36.7672,0.19,1.83,32.71,4.0393672494870625,32.86592321480441,1.8432591840316699,26.15211491695345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,10.0,0.26459565949384967,0.00032882747088097935,168,6,2.0,0.0,1997,,,
7550,codispoti,     316N151_2+71051,1997-06-17,0.0,64.285,-37.3835,0.05,1.45,32.4,2.0197031734947832,32.554476471542785,1.4643436969856187,25.92977137100638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,18.0,0.3219218506895807,0.00034764063069930346,168,6,10.0,6.0,1997,,,
7701,codispoti,     316N151_2+71052,1997-06-17,0.0,64.4675,-38.0202,0.05,1.22,32.52,3.0296020300893565,32.67505885296067,1.2330841777708852,26.040908682094823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,34.0,0.44317676138498996,0.00026719071629136937,168,6,26.0,26.0,1997,,,
7852,codispoti,     316N151_2+71053,1997-06-17,0.0,64.7667,-38.9553,0.05,0.22,32.36,1.0098840161955338,32.51433871300742,0.23139230419670634,25.9685563836847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,20.0,0.4244898813861937,0.0002468701734354803,168,6,12.0,6.0,1997,,,
8003,codispoti, 33RO200306_01+71059,2003-06-20,0.0,63.293,-20.0033,7.03,9.88,35.24,1.0097757600579267,35.40725930771487,9.86543259229272,27.162849790426435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,0.0,68.0,0.13540882342193328,3.304819980617375e-05,171,6,-12.0,-80.0,2003,,,
8154,codispoti, 33RO200306_01+71060,2003-06-20,0.0,63.214,-19.9938,7.95,9.68,35.23,1.0097698357306037,35.397206339375664,9.665775979291864,27.188877094399004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,0.0,46.0,0.1439865113783938,3.199598697266402e-05,171,6,-34.0,-80.0,2003,,,
8305,codispoti, 33RO200306_01+71061,2003-06-20,0.0,63.1248,-19.9992,7.53,9.85,35.22,1.0097631320541756,35.38715370894505,9.83582412693793,27.152321443992832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0.0,70.0,0.1479398400076235,3.576921348936088e-05,171,6,-4.0,-74.0,2003,,,
8456,codispoti, 33RO200306_01+71062,2003-06-20,0.0,62.7485,-20.0003,5.68,10.64,35.25,1.0097346847861637,35.41727298186642,10.624677319113488,27.038273919382164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,0.0,36.0,0.24503912020735186,6.745784326268085e-05,171,6,-8.0,-44.0,2003,,,
